Node has 902 -  Counter({(0, 1): 337, (1, 0): 233, (0, 0): 222, (1, 1): 110})
Node has 902 -  Counter({(0, 1): 341, (0, 0): 225, (1, 0): 222, (1, 1): 114})
Node has 902 -  Counter({(0, 1): 321, (1, 0): 258, (0, 0): 224, (1, 1): 99})
Node has 902 -  Counter({(0, 1): 342, (0, 0): 235, (1, 0): 217, (1, 1): 108})
Node has 902 -  Counter({(0, 1): 340, (0, 0): 236, (1, 0): 211, (1, 1): 115})
Node has 902 -  Counter({(0, 1): 368, (1, 0): 232, (0, 0): 193, (1, 1): 109})
Node has 902 -  Counter({(0, 1): 350, (0, 0): 241, (1, 0): 193, (1, 1): 118})
Node has 902 -  Counter({(0, 1): 337, (0, 0): 245, (1, 0): 193, (1, 1): 127})
Node has 902 -  Counter({(0, 1): 345, (0, 0): 222, (1, 0): 211, (1, 1): 124})
Node has 902 -  Counter({(0, 1): 356, (1, 0): 214, (0, 0): 209, (1, 1): 123})
Node has 902 -  Counter({(0, 1): 342, (0, 0): 224, (1, 0): 213, (1, 1): 123})
Node has 902 -  Counter({(0, 1): 342, (1, 0): 245, (0, 0): 211, (1, 1): 104})
Node has 902 -  Counter({(0, 1): 345, (1, 0): 241, (0, 0): 200, (1, 1): 116})
Node has 902 -  Counter({(0, 1): 352, (1, 0): 217, (0, 0): 211, (1, 1): 122})
Node has 902 -  Counter({(0, 1): 336, (0, 0): 226, (1, 0): 225, (1, 1): 115})
Node has 902 -  Counter({(0, 1): 351, (0, 0): 228, (1, 0): 203, (1, 1): 120})
Node has 902 -  Counter({(0, 1): 342, (1, 0): 239, (0, 0): 208, (1, 1): 113})
Node has 902 -  Counter({(0, 1): 336, (0, 0): 230, (1, 0): 222, (1, 1): 114})
Node has 902 -  Counter({(0, 1): 330, (1, 0): 232, (0, 0): 220, (1, 1): 120})
Node has 902 -  Counter({(0, 1): 333, (1, 0): 228, (0, 0): 226, (1, 1): 115})
Node has 902 -  Counter({(0, 1): 318, (0, 0): 242, (1, 0): 222, (1, 1): 120})
Node has 902 -  Counter({(0, 1): 350, (0, 0): 237, (1, 0): 211, (1, 1): 104})
Node has 902 -  Counter({(0, 1): 355, (1, 0): 229, (0, 0): 206, (1, 1): 112})
Node has 902 -  Counter({(0, 1): 340, (1, 0): 229, (0, 0): 219, (1, 1): 114})
Node has 902 -  Counter({(0, 1): 359, (1, 0): 234, (0, 0): 201, (1, 1): 108})
Node has 902 -  Counter({(0, 1): 333, (0, 0): 231, (1, 0): 219, (1, 1): 119})
Node has 902 -  Counter({(0, 1): 341, (1, 0): 236, (0, 0): 227, (1, 1): 98})
Node has 902 -  Counter({(0, 1): 343, (1, 0): 230, (0, 0): 213, (1, 1): 116})
Node has 902 -  Counter({(0, 1): 334, (0, 0): 241, (1, 0): 211, (1, 1): 116})
Node has 902 -  Counter({(0, 1): 334, (0, 0): 229, (1, 0): 225, (1, 1): 114})
Node has 902 -  Counter({(0, 1): 336, (0, 0): 231, (1, 0): 209, (1, 1): 126})
Node has 902 -  Counter({(0, 1): 322, (1, 0): 241, (0, 0): 224, (1, 1): 115})
Node has 902 -  Counter({(0, 1): 351, (1, 0): 235, (0, 0): 191, (1, 1): 125})
Node has 902 -  Counter({(0, 1): 329, (1, 0): 238, (0, 0): 231, (1, 1): 104})
Node has 902 -  Counter({(0, 1): 360, (0, 0): 218, (1, 0): 210, (1, 1): 114})
Node has 902 -  Counter({(0, 1): 341, (1, 0): 226, (0, 0): 219, (1, 1): 116})
Node has 902 -  Counter({(0, 1): 322, (1, 0): 247, (0, 0): 224, (1, 1): 109})
Node has 902 -  Counter({(0, 1): 337, (1, 0): 243, (0, 0): 217, (1, 1): 105})
Node has 902 -  Counter({(0, 1): 349, (1, 0): 221, (0, 0): 220, (1, 1): 112})
Node has 902 -  Counter({(0, 1): 333, (1, 0): 228, (0, 0): 213, (1, 1): 128})
Node has 902 -  Counter({(0, 1): 343, (0, 0): 229, (1, 0): 217, (1, 1): 113})
Node has 902 -  Counter({(0, 1): 324, (1, 0): 247, (0, 0): 226, (1, 1): 105})
Node has 901 -  Counter({(0, 1): 357, (1, 0): 223, (0, 0): 203, (1, 1): 118})
Node has 901 -  Counter({(0, 1): 318, (0, 0): 238, (1, 0): 233, (1, 1): 112})
Node has 901 -  Counter({(0, 1): 354, (0, 0): 227, (1, 0): 220, (1, 1): 100})
Node has 901 -  Counter({(0, 1): 367, (0, 0): 220, (1, 0): 202, (1, 1): 112})
Node has 901 -  Counter({(0, 1): 334, (0, 0): 232, (1, 0): 213, (1, 1): 122})
Node has 901 -  Counter({(0, 1): 332, (0, 0): 236, (1, 0): 221, (1, 1): 112})
Node has 901 -  Counter({(0, 1): 320, (0, 0): 235, (1, 0): 225, (1, 1): 121})
Node has 901 -  Counter({(0, 1): 337, (1, 0): 241, (0, 0): 221, (1, 1): 102})
Node has 901 -  Counter({(0, 1): 334, (1, 0): 234, (0, 0): 230, (1, 1): 103})
Node has 901 -  Counter({(0, 1): 311, (0, 0): 243, (1, 0): 239, (1, 1): 108})
Node has 901 -  Counter({(0, 1): 341, (1, 0): 226, (0, 0): 221, (1, 1): 113})
Node has 901 -  Counter({(0, 1): 316, (0, 0): 238, (1, 0): 217, (1, 1): 130})
Node has 901 -  Counter({(0, 1): 322, (0, 0): 240, (1, 0): 228, (1, 1): 111})
Node has 901 -  Counter({(0, 1): 312, (0, 0): 248, (1, 0): 232, (1, 1): 109})
Node has 901 -  Counter({(0, 1): 343, (0, 0): 221, (1, 0): 211, (1, 1): 126})
Node has 901 -  Counter({(0, 1): 340, (1, 0): 247, (0, 0): 203, (1, 1): 111})
Node has 901 -  Counter({(0, 1): 324, (0, 0): 245, (1, 0): 227, (1, 1): 105})
Node has 901 -  Counter({(0, 1): 340, (0, 0): 227, (1, 0): 223, (1, 1): 111})
Node has 901 -  Counter({(0, 1): 335, (0, 0): 235, (1, 0): 215, (1, 1): 116})
Node has 901 -  Counter({(0, 1): 335, (0, 0): 232, (1, 0): 211, (1, 1): 123})
Node has 901 -  Counter({(0, 1): 343, (1, 0): 230, (0, 0): 220, (1, 1): 108})
Node has 901 -  Counter({(0, 1): 342, (0, 0): 234, (1, 0): 221, (1, 1): 104})
Node has 901 -  Counter({(0, 1): 342, (0, 0): 220, (1, 0): 212, (1, 1): 127})
Node has 901 -  Counter({(0, 1): 333, (0, 0): 234, (1, 0): 228, (1, 1): 106})
Node has 901 -  Counter({(0, 1): 343, (0, 0): 236, (1, 0): 222, (1, 1): 100})
Node has 901 -  Counter({(0, 1): 360, (1, 0): 218, (0, 0): 208, (1, 1): 115})
Node has 901 -  Counter({(0, 1): 335, (1, 0): 242, (0, 0): 211, (1, 1): 113})
Node has 901 -  Counter({(0, 1): 322, (0, 0): 234, (1, 0): 233, (1, 1): 112})
Node has 901 -  Counter({(0, 1): 358, (0, 0): 220, (1, 0): 210, (1, 1): 113})
Node has 901 -  Counter({(0, 1): 333, (0, 0): 254, (1, 0): 193, (1, 1): 121})
Node has 901 -  Counter({(0, 1): 359, (0, 0): 219, (1, 0): 214, (1, 1): 109})
